"","week_start","count_per_week","gas_price","new_covid_cases","tavg","prcp","wspd","month","season"
"1",2019-12-30,13012,2.65,0,5.7,1.22,18.34,12,"Winter"
"2",2020-01-06,33686,2.655,0,5.88571428571429,0.142857142857143,22.0714285714286,1,"Winter"
"3",2020-01-13,26571,2.653,0,1.47142857142857,1.48571428571429,18.5714285714286,1,"Winter"
"4",2020-01-20,27577,2.649,0,1.57142857142857,2.54285714285714,15.4857142857143,1,"Winter"
"5",2020-01-27,34337,2.636,0.2,2.97142857142857,0.0714285714285714,14.6571428571429,1,"Winter"
"6",2020-02-03,31316,2.61,0,2.85714285714286,2.94285714285714,16.1428571428571,2,"Winter"
"7",2020-02-10,29104,2.591,0,2.24285714285714,3.12857142857143,16.9285714285714,2,"Winter"
"8",2020-02-17,31977,2.563,0,2.85714285714286,1.62857142857143,17.6857142857143,2,"Winter"
"9",2020-02-24,36606,2.571,0,4.11428571428571,4.2,19.8428571428571,2,"Winter"
"10",2020-03-02,39780,2.546,2.71428571428571,5.34285714285714,0.228571428571429,22.4714285714286,3,"Winter"
"11",2020-03-09,39224,2.52,6.71428571428571,8.34285714285714,1.05714285714286,19.8714285714286,3,"Winter"
"12",2020-03-16,14237,2.407,47,4.38571428571429,2.21428571428571,19.4857142857143,3,"Winter"
"13",2020-03-23,9706,2.284,106.142857142857,5.3,9.3,20.2,3,"Spring"
"14",2020-03-30,8347,2.169,200.857142857143,4.55714285714286,3.91428571428571,23.9857142857143,3,"Spring"
"15",2020-04-06,11910,2.092,262,8.12857142857143,2.62857142857143,19.4,4,"Spring"
"16",2020-04-13,11241,2.025,306,7.77142857142857,4.5,21.6571428571429,4,"Spring"
"17",2020-04-20,11825,1.985,317.571428571429,6.55714285714286,2.75714285714286,20.6714285714286,4,"Spring"
"18",2020-04-27,18059,1.959,224.857142857143,9.52857142857143,5.12857142857143,20.2571428571429,4,"Spring"
"19",2020-05-04,16656,1.953,159,9.92857142857143,1.38571428571429,20.6428571428571,5,"Spring"
"20",2020-05-11,25581,1.983,108.428571428571,12.6285714285714,3.4,19.2857142857143,5,"Spring"
"21",2020-05-18,29934,2.008,75.2857142857143,13.3857142857143,0,18.7714285714286,5,"Spring"
"22",2020-05-25,39048,2.056,44.7142857142857,18.5,0.328571428571429,18.6285714285714,5,"Spring"
"23",2020-06-01,38429,2.064,35.1428571428571,18.6142857142857,1.21428571428571,15.4285714285714,6,"Summer"
"24",2020-06-08,46002,2.099,24.7142857142857,18.7428571428571,2.68571428571429,15.5857142857143,6,"Summer"
"25",2020-06-15,49382,2.111,20.5714285714286,21.2571428571429,0,14.0857142857143,6,"Summer"
"26",2020-06-22,48932,2.134,21.2857142857143,22.8857142857143,4.42857142857143,13.6285714285714,6,"Summer"
"27",2020-06-29,49901,2.17,22.8571428571429,19.8428571428571,2,12.4571428571429,6,"Summer"
"28",2020-07-06,56659,2.174,27.8571428571429,23.3857142857143,0.0428571428571429,18.6142857142857,7,"Summer"
"29",2020-07-13,57682,2.175,28.1428571428571,22.0714285714286,3.15714285714286,14.3428571428571,7,"Summer"
"30",2020-07-20,61005,2.184,24.7142857142857,25.6285714285714,3.22857142857143,15.1285714285714,7,"Summer"
"31",2020-07-27,64086,2.18,40.1428571428571,26.4571428571429,0.257142857142857,15.5428571428571,7,"Summer"
"32",2020-08-03,65258,2.18,42.4285714285714,24.4714285714286,0.614285714285714,15.8428571428571,8,"Summer"
"33",2020-08-10,63454,2.178,50.5714285714286,24.4428571428571,0.585714285714286,15.6428571428571,8,"Summer"
"34",2020-08-17,65343,2.176,48.1428571428571,21.9857142857143,5.91428571428571,14.8857142857143,8,"Summer"
"35",2020-08-24,64937,2.173,49.4285714285714,21.6,0.914285714285714,16.1,8,"Summer"
"36",2020-08-31,71564,2.22,53.5714285714286,20.3285714285714,0.771428571428571,13.5857142857143,8,"Summer"
"37",2020-09-07,75354,2.191,54.4285714285714,19.6285714285714,0.914285714285714,13.9428571428571,9,"Summer"
"38",2020-09-14,70997,2.188,54.1428571428571,15.6428571428571,0,18.6571428571429,9,"Summer"
"39",2020-09-21,73161,2.183,67.2857142857143,16.9714285714286,0,14.8571428571429,9,"Fall"
"40",2020-09-28,69300,2.175,74,17.6428571428571,1.92857142857143,16.1142857142857,9,"Fall"
"41",2020-10-05,67508,2.162,79.7142857142857,14.6714285714286,0.0714285714285714,21.4,10,"Fall"
"42",2020-10-12,50413,2.167,96.7142857142857,12.7571428571429,12.4571428571429,18.6142857142857,10,"Fall"
"43",2020-10-19,60781,2.158,127.857142857143,13.2142857142857,0.214285714285714,12.4571428571429,10,"Fall"
"44",2020-10-26,31216,2.151,126.428571428571,6.61428571428571,7.51428571428571,14.0857142857143,10,"Fall"
"45",2020-11-02,52203,2.141,198,10.6571428571429,0,18.7714285714286,11,"Fall"
"46",2020-11-09,43683,2.14,248.571428571429,11.3142857142857,2.07142857142857,16.2857142857143,11,"Fall"
"47",2020-11-16,35485,2.144,232.857142857143,6.4,0.185714285714286,20.9,11,"Fall"
"48",2020-11-23,24494,2.136,227.714285714286,7.24285714285714,7.67142857142857,12.7714285714286,11,"Fall"
"49",2020-11-30,22236,2.147,435.571428571429,6.87142857142857,10.8857142857143,24.5857142857143,11,"Fall"
"50",2020-12-07,23605,2.173,441.285714285714,2.44285714285714,1.81428571428571,14.2571428571429,12,"Winter"
"51",2020-12-14,11583,2.216,402.714285714286,-2.05714285714286,5.18571428571429,17.8,12,"Winter"
"52",2020-12-21,10846,2.263,369.857142857143,3.18571428571429,5.4,19.7571428571429,12,"Winter"
"53",2020-12-28,12850,2.281,437.428571428571,1.98571428571429,2.31428571428571,18.6,12,"Winter"
"54",2021-01-04,15734,2.305,570.285714285714,0.185714285714286,0.0428571428571429,18.5857142857143,1,"Winter"
"55",2021-01-11,18462,2.359,414.428571428571,2.27142857142857,4.1,16.3142857142857,1,"Winter"
"56",2021-01-18,19721,2.418,367.142857142857,-0.271428571428571,0,20.9285714285714,1,"Winter"
"57",2021-01-25,12518,2.441,291.142857142857,-5.28571428571429,1.24285714285714,19.0857142857143,1,"Winter"
"58",2021-02-01,14503,2.462,223.571428571429,-0.0857142857142857,4.91428571428571,20.0142857142857,2,"Winter"
"59",2021-02-08,13109,2.51,187.714285714286,-4.32857142857143,0.614285714285714,13.8714285714286,2,"Winter"
"60",2021-02-15,12535,2.545,157.571428571429,-1.85714285714286,4.28571428571429,16.8142857142857,2,"Winter"
"61",2021-02-22,19678,2.634,173.714285714286,2.88571428571429,1.27142857142857,18.4571428571429,2,"Winter"
"62",2021-03-01,21007,2.711,164.285714285714,-0.185714285714286,0.657142857142857,23.8714285714286,3,"Winter"
"63",2021-03-08,31764,2.757,146.571428571429,7.02857142857143,0,21.0285714285714,3,"Winter"
"64",2021-03-15,30757,2.822,170.285714285714,3.07142857142857,2.4,17.9571428571429,3,"Winter"
"65",2021-03-22,40625,2.843,242.428571428571,9.98571428571429,3.08571428571429,15.9857142857143,3,"Spring"
"66",2021-03-29,34328,2.826,235.857142857143,7.9,4.07142857142857,21.1428571428571,3,"Spring"
"67",2021-04-05,50051,2.828,212.428571428571,11.5857142857143,0,16.8857142857143,4,"Spring"
"68",2021-04-12,34491,2.806,140.428571428571,8.31428571428571,6.88571428571429,19.4,4,"Spring"
"69",2021-04-19,53970,2.821,111.285714285714,12.4285714285714,1.31428571428571,20.9714285714286,4,"Spring"
"70",2021-04-26,49067,2.836,91.7142857142857,12.3857142857143,4.68571428571429,19.4428571428571,4,"Spring"
"71",2021-05-03,51352,2.865,66.8571428571429,12.3142857142857,4.42857142857143,16.6285714285714,5,"Spring"
"72",2021-05-10,69306,2.919,48.4285714285714,16.4857142857143,1.27142857142857,15.6428571428571,5,"Spring"
"73",2021-05-17,72506,2.969,30.4285714285714,20.7571428571429,0,15.2285714285714,5,"Spring"
"74",2021-05-24,54345,2.98,21.4285714285714,16.7285714285714,11.5,23.9142857142857,5,"Spring"
"75",2021-05-31,61471,2.982,19.5714285714286,21.1857142857143,0.942857142857143,16.1714285714286,5,"Spring"
"76",2021-06-07,73533,2.995,12.5714285714286,23.4571428571429,2.75714285714286,14.4571428571429,6,"Summer"
"77",2021-06-14,74162,3.004,6.28571428571429,22.1428571428571,1.97142857142857,14.5571428571429,6,"Summer"
"78",2021-06-21,77288,3.018,6.85714285714286,22.2714285714286,3.62857142857143,18.5714285714286,6,"Summer"
"79",2021-06-28,52182,3.046,8.28571428571429,23.8,18.5142857142857,17.9,6,"Summer"
"80",2021-07-05,67553,3.08,16.1428571428571,21.9571428571429,9.95714285714286,14.3,7,"Summer"
"81",2021-07-12,68685,3.088,39.2857142857143,22.4285714285714,6.2,12.4571428571429,7,"Summer"
"82",2021-07-19,80246,3.096,67.1428571428571,22.9142857142857,0.542857142857143,13.4714285714286,7,"Summer"
"83",2021-07-26,80895,3.087,86.4285714285714,23.1428571428571,1.94285714285714,16.2571428571429,7,"Summer"
"84",2021-08-02,77864,3.1,119.142857142857,23.3571428571429,7.25714285714286,12.9142857142857,8,"Summer"
"85",2021-08-09,79462,3.109,115.857142857143,26.0571428571429,4.32857142857143,14.4,8,"Summer"
"86",2021-08-16,78050,3.115,127.857142857143,24.1857142857143,7.08571428571429,15.7428571428571,8,"Summer"
"87",2021-08-23,82465,3.114,144.571428571429,25.2142857142857,6.67142857142857,13.2857142857143,8,"Summer"
"88",2021-08-30,90991,3.121,145.714285714286,22.1857142857143,15.6,17.1714285714286,8,"Summer"
"89",2021-09-06,103345,3.159,175.285714285714,22.6857142857143,4.17142857142857,18.1571428571429,9,"Summer"
"90",2021-09-13,105395,3.16,149.285714285714,21.5857142857143,2.57142857142857,13.8428571428571,9,"Summer"
"91",2021-09-20,108391,3.166,125,20.9,2.22857142857143,13.0857142857143,9,"Summer"
"92",2021-09-27,96531,3.164,106.857142857143,17.2571428571429,3.08571428571429,15.1285714285714,9,"Fall"
"93",2021-10-04,91219,3.167,112.285714285714,16.7428571428571,5,15.6714285714286,10,"Fall"
"94",2021-10-11,106717,3.265,94.2857142857143,18.6142857142857,1.2,14.5,10,"Fall"
"95",2021-10-18,100031,3.36,82.1428571428571,14.3142857142857,0,17.9,10,"Fall"
"96",2021-10-25,56099,3.438,90,11.3285714285714,11.8714285714286,25.8142857142857,10,"Fall"
"97",2021-11-01,74187,3.464,115.857142857143,8.27142857142857,0,13.1,11,"Fall"
"98",2021-11-08,69320,3.486,143.428571428571,10.5857142857143,2.61428571428571,15.0142857142857,11,"Fall"
"99",2021-11-15,62552,3.485,193,7.28571428571429,1.3,18.1142857142857,11,"Fall"
"100",2021-11-22,34288,3.481,151.571428571429,4.31428571428571,0.942857142857143,19.5,11,"Fall"
"101",2021-11-29,47087,3.478,332.142857142857,3.84285714285714,0.0714285714285714,17.6714285714286,11,"Fall"
"102",2021-12-06,41210,3.46,331.428571428571,5.04285714285714,2.01428571428571,19.0714285714286,12,"Winter"
"103",2021-12-13,39682,3.444,575.857142857143,6.92857142857143,4.1,19.9,12,"Winter"
"104",2021-12-20,15959,3.44,944.142857142857,-0.0142857142857143,2.35714285714286,14.8142857142857,12,"Winter"
"105",2021-12-27,16286,3.445,1936.71428571429,4.74285714285714,1.47142857142857,8.7,12,"Winter"
"106",2022-01-03,15756,3.435,2715.85714285714,-0.628571428571429,2.21428571428571,19.8,1,"Winter"
"107",2022-01-10,17686,3.419,1708,-4.31428571428571,0,20.4571428571429,1,"Winter"
"108",2022-01-17,21341,3.396,1006.14285714286,-2.05714285714286,3.22857142857143,22.2571428571429,1,"Winter"
"109",2022-01-24,21652,3.384,574.142857142857,-4.32857142857143,1.88571428571429,18.7714285714286,1,"Winter"
"110",2022-01-31,17051,3.412,368.571428571429,-2.25714285714286,7.58571428571429,12.8571428571429,1,"Winter"
"111",2022-02-07,33994,3.479,259.285714285714,3.35714285714286,4.05714285714286,15.9857142857143,2,"Winter"
"112",2022-02-14,28197,3.537,219.142857142857,-0.2,1.28571428571429,25.0285714285714,2,"Winter"
"113",2022-02-21,28317,3.607,150.142857142857,1.55714285714286,3.81428571428571,19.2428571428571,2,"Winter"
"114",2022-02-28,34666,3.675,106.142857142857,0.414285714285714,0.957142857142857,19.2285714285714,2,"Winter"
"115",2022-03-07,33966,4.263,77.2857142857143,4.78571428571429,3.37142857142857,18.9285714285714,3,"Winter"
"116",2022-03-14,49560,4.389,80.4285714285714,8.04285714285714,0.914285714285714,13.3571428571429,3,"Winter"
"117",2022-03-21,44296,4.305,145.714285714286,7.17142857142857,4.82857142857143,21.4428571428571,3,"Spring"
"118",2022-03-28,46434,4.281,201.714285714286,5.35714285714286,2.04285714285714,23.5285714285714,3,"Spring"
"119",2022-04-04,55626,4.208,242,8.95714285714286,1.42857142857143,18.7428571428571,4,"Spring"
"120",2022-04-11,69271,4.146,318.571428571429,12.0857142857143,2.35714285714286,18.9857142857143,4,"Spring"
"121",2022-04-18,72221,4.132,329.285714285714,9.77142857142857,2.02857142857143,22.3714285714286,4,"Spring"
"122",2022-04-25,64186,4.199,390.428571428571,9.44285714285714,1.15714285714286,19.6,4,"Spring"
"123",2022-05-02,66619,4.292,446,10.7857142857143,1.34285714285714,18,5,"Spring"
"124",2022-05-09,78823,4.493,434.285714285714,14.4714285714286,0.0428571428571429,18.0285714285714,5,"Spring"
"125",2022-05-16,81829,4.744,372.428571428571,16.8428571428571,0.771428571428571,16.5142857142857,5,"Spring"
"126",2022-05-23,85704,4.812,264.285714285714,17.6714285714286,2.64285714285714,18.2,5,"Spring"
"127",2022-05-30,81546,4.829,220.714285714286,17,0.728571428571429,14.5428571428571,5,"Spring"
"128",2022-06-06,90874,5.084,188.142857142857,21,3.91428571428571,17.4142857142857,6,"Summer"
"129",2022-06-13,94499,5.151,156,20.1571428571429,1.45714285714286,18.7,6,"Summer"
"130",2022-06-20,96997,5.074,142.428571428571,19.3857142857143,0,15.1571428571429,6,"Summer"
